der Tag[] (Zeitspanne) |la journée
beginnen[]anfangen|commencer
Der Wecker läutet.|Le reveil sonne.
austehen|se lever
sich waschen|se laver
sich die Zähne putzen|se laver les dents
sich kleiden|sich anziehen|s'habiller
sich kämmen|se coiffer
sich waschen[]sich pflegen|faire sa toilette
sich hinlegen[]zu Bett gehen|se coucher
der Morgen|le matin
der Mittag|le midi
der Nachmittag|l'après-midi
Mitternacht|minuit
der Abend|le soir
die Nacht|la nuit
das Frühstück|le petit déjeuner
das Mittagessen|le déjeuner
der Zvieri|le goûter
das Abendessen|le dînner
Ich trinke eine Limonade.|Je bois une limonade.
essen|manger
zu Mittag essen|déjeuner
das Butterbrot|la tartine au beurre
Durst haben|avoir soif
Hunger haben|avoir faim
Angst haben|avoir peur
Lust haben|avoir envie
Schule haben|avoir classe
der Stundenplan|l'emploi du temps
die Schulfächer|les matières scolaires
die Klavierstunde|la leçon de piano
die Geschichte|l'histoire
das Werken|les travaux manuels
glücklicherweise|heureusement
jetzt|maintenant
die Ankunft|l'arrivée
die Abfahrt|le départ
Wie spät ist es?|Quelle heure est-il?
Es ist Mittag.|Il est midi.
Es ist halb zwei.|Il est une heure et demie.
Es ist Viertel nach zehn.|Il est dix heures et quart.
Es ist Viertel vor neun.|Il est neuf heures moins le quart.
Es ist zehn nach elf.|Il est onze heures dix.
Es ist zwanzig vor drei.|Il est trois heures moins vingt.
der Beruf|la profession
der Bäcker[]die Bäckerin|le boulanger[]la boulangère
der Koch|die Köchin|le cuisinier[]la cuisinière
der Musiker|die Musikerin|le musicien[]la musicienne
der Verkäufer[]die Verkäuferin|le vendeur[]la vendeuse
der Informatiker[]die Informatikerin|l'informaticien[]l'informaticienne
der Professor[]die Profissorin[]der Lehrer[]die Lehrerin|le professeur
der Arzt|le médecin